,electricity,natural_gas,fuel_oil,vehicle_miles,housing_fp,county_total_fp
360,10490.0,47359.0,22,27990,11.2,388181
361,15239.0,33471.0,2,27023,16.3,906433
362,13831.0,27095.0,1,24740,14.8,3702219
363,12508.0,27275.0,1,20836,13.8,511117
364,13834.0,30885.0,2,27042,15.0,441258
365,13262.0,28419.0,3,29661,14.7,822979
366,12493.0,28330.0,1,19187,13.8,216678
367,13423.0,28556.0,,21187,14.5,444238
368,13274.0,33695.0,2,23952,15.0,2606152
369,13519.0,32269.0,3,22292,14.9,760309
370,12084.0,27723.0,4,22822,13.7,563662
371,13111.0,27976.0,3,26411,14.3,781947
372,13004.0,26413.0,1,23362,14.1,352425
373,14583.0,30461.0,2,22648,15.5,603691
374,12987.0,29321.0,1,26421,14.2,296329
375,12542.0,27161.0,1,29473,13.8,301033
376,13119.0,26919.0,4,23850,14.3,972178
377,13229.0,34889.0,7,25021,15.2,1179026
378,13814.0,28256.0,1,21171,14.8,307713
379,13249.0,28785.0,4,24359,14.5,260690
380,13714.0,28382.0,1,22901,14.7,835817
381,13202.0,27254.0,2,23777,14.2,309934
382,12506.0,27233.0,5,26730,14.0,1709353
383,13303.0,27203.0,3,23572,14.4,1014825
384,13967.0,34896.0,1,19349,15.3,937449
385,14403.0,30115.0,2,28431,15.5,1499028
386,13302.0,27966.0,6,23159,14.5,764456
387,13406.0,37244.0,2,24540,15.3,2584172
388,13049.0,29911.0,,25904,14.3,356135
389,13396.0,34542.0,3,25444,15.1,705338
390,13501.0,26348.0,7,24018,14.5,577203
391,13157.0,29872.0,4,18821,14.4,210619
392,13762.0,29705.0,3,21518,14.9,368301
393,13699.0,26358.0,7,23583,14.6,382031
394,12740.0,26112.0,4,21909,13.9,1776292
395,12090.0,28115.0,8,27717,13.8,1269885
396,14057.0,40485.0,1,22760,16.1,15606652
397,13585.0,30377.0,2,25077,14.8,382320
398,13138.0,33588.0,4,25720,15.0,1992730
399,13236.0,29845.0,8,27004,14.8,589281
400,11882.0,28457.0,1,22895,13.3,3065726
401,12541.0,27678.0,8,27801,14.2,2092196
402,13513.0,27473.0,2,21147,14.5,237817
403,12983.0,34664.0,1,18269,14.6,422969
404,12813.0,32025.0,3,25496,14.7,6304820
405,13389.0,30076.0,5,21395,14.7,441497
406,14134.0,33344.0,1,24711,15.5,631347
407,13038.0,31064.0,4,25354,14.7,1987091
408,14944.0,33218.0,0,22459,16.0,8066247
409,13634.0,27699.0,1,21896,14.6,487965
410,14069.0,36245.0,0,20372,15.5,4554292
411,12810.0,30465.0,6,25997,14.5,2498282
412,13880.0,32364.0,3,18226,15.1,181153
413,13600.0,29590.0,11,23144,14.8,449585
414,11983.0,27026.0,3,21059,13.3,618425
415,12739.0,28932.0,1,24869,14.1,456540
416,12328.0,28993.0,2,20674,13.7,1171923
417,14782.0,33098.0,2,29332,16.0,15016398
418,12667.0,28415.0,6,18175,13.9,272685
419,13072.0,31637.0,3,23829,14.5,1621527
420,12925.0,29587.0,2,22678,14.2,862017
421,13100.0,31178.0,2,22638,14.4,3176042
422,12591.0,28317.0,3,25555,13.9,1554201
423,14676.0,28059.0,,26162,15.4,403271
424,12846.0,26873.0,10,18756,14.1,262872
425,12774.0,30125.0,4,24682,14.4,620924
426,8687.0,26122.0,3,18130,8.5,1211053
